TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,FRUSTRATED,TIRED,ENGAGED,CLASS
0.6,0,101.0105,no,unknown,unknown,unknown,Unknown,-31.216,12.8452,9.0177,0.0018,0.0046,0.4658,0.0239,0.0044,0.1951,0.1967,-0.3658,0.0833,0,0.0002,0.2354,0.0001,0.7197,0.0056,0.0002,0,0.017,0.0091,0.001,0.0214,0.1949,91.7036,86.1876,0.0088,0.0003,0.0015,0.004,0.004,0.3375,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.68,0,100.5492,no,unknown,unknown,unknown,Unknown,-30.6302,13.9547,9.917,0.0018,0.0046,0.4649,0.0239,0.0044,0.195,0.1969,-0.3577,0.0832,0,0.0002,0.2186,0.0001,0.7032,0.0058,0.0002,0,0.0151,0.0092,0.0011,0.0223,0.2042,89.3909,83.3282,0.0095,0.0003,0.0015,0.003,0.0038,0.3395,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.72,0,100.0654,no,unknown,unknown,unknown,Unknown,-30.6118,13.239,10.4828,0.0018,0.0046,0.4692,0.0239,0.0044,0.1948,0.1977,-0.3945,0.0836,0,0.0001,0.1988,0.0001,0.7767,0.0056,0.0002,0,0.0154,0.0096,0.0011,0.0222,0.2444,92.1214,85.2231,0.0127,0.0003,0.0018,0.0036,0.004,0.3375,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.8,0,103.8254,no,unknown,unknown,unknown,Unknown,-33.5234,12.7394,8.3155,0.0018,0.0046,0.4791,0.0239,0.0044,0.1943,0.1975,-0.4785,0.0846,0,0.0003,0.1458,0.0002,0.9452,0.0062,0.0002,0,0.0143,0.008,0.0009,0.0245,0.233,94.6577,86.4376,0.0081,0.0005,0.0023,0.003,0.0038,0.3399,0.0018,0.0017,0.0018,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.88,0,109.3982,no,unknown,unknown,unknown,Unknown,-34.9658,10.2263,4.4335,0.0018,0.0046,0.5401,0.024,0.0044,0.1935,0.1959,-0.9621,0.0907,0,0.0009,0.067,0.0003,1.9125,0.0076,0.0003,0,0.0179,0.0078,0.0007,0.0255,0.1555,6.1455,91.3311,0.0033,0.0027,0.0078,0.0023,0.0029,0.3764,0.0018,0.0017,0.0017,0.0018,0.0018,0.0044,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
0.92,0,106.2589,no,unknown,unknown,unknown,Unknown,-34.0163,10.8269,4.6209,0.0018,0.0046,0.7193,0.024,0.0043,0.1933,0.1956,-2.1204,0.107,0,0.0019,0.0409,0.0005,4.2301,0.0092,0.0004,0,0.0222,0.0093,0.0006,0.0255,0.1401,4.3073,90.3316,0.002,0.008,0.0209,0.0024,0.0024,0.379,0.0018,0.0017,0.0017,0.0018,0.0018,0.0043,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
1,0,107.052,no,unknown,unknown,unknown,Unknown,-32.6652,9.4305,1.8248,0.0018,0.0045,1.2433,0.024,0.004,0.1931,0.1951,-4.3324,0.1469,0,0.0053,0.0202,0.0014,8.6729,0.0105,0.0004,0.0001,0.0231,0.0185,0.0007,0.0242,0.1178,0.0838,92.5111,0.001,0.0435,0.0781,0.0028,0.0021,0.3842,0.0018,0.0016,0.0016,0.0018,0.0018,0.004,0,0.0018,2.2978,2.2978,0.0018,0.0284,0,0,0,0
1.08,0,107.8273,no,unknown,unknown,unknown,Unknown,-28.633,7.7947,0.657,0.0018,0.0046,1.4481,0.024,0.0039,0.1931,0.194,-4.8935,0.1607,0,0.0292,0.0084,0.0065,9.9145,0.0115,0.0004,0.0001,0.0364,0.0439,0.0009,0.0264,0.0636,0,94.4855,0.0003,0.235,0.5069,0.0023,0.0015,0.3695,0.0018,0.0016,0.0016,0.0018,0.0018,0.0039,0,0.0019,2.2978,2.2978,0.0018,0.0284,0,0,0,0
1.16,0,108.3201,no,unknown,unknown,unknown,Unknown,-29.7436,5.6779,-0.0104,0.0018,0.0046,0.8822,0.0242,0.0042,0.1935,0.1938,-2.7476,0.122,0,0.1358,0.0043,0.0163,5.8825,0.0132,0.0004,0.0001,0.0619,0.2104,0.0015,0.0274,0.0543,0,96.3188,0.0001,0.7744,1.9884,0.0024,0.001,0.3464,0.0018,0.0016,0.0016,0.0018,0.0018,0.0042,0,0.0019,2.2978,2.2978,0.0018,0.0284,0,0,0,0
1.2,0,107.8058,no,unknown,unknown,unknown,Unknown,-29.1949,5.3527,-0.1283,0.0018,0.0047,0.7319,0.0252,0.0042,0.1967,0.1943,-1.3147,0.1091,0,0.7107,0.0022,0.0326,4.3673,0.0141,0.0004,0.0001,0.0892,0.1542,0.002,0.0301,0.0725,0,96.5426,0,2.8654,7.4749,0.0022,0.0008,0.29,0.0018,0.0015,0.0016,0.0018,0.0018,0.0042,0,0.0021,2.2978,2.2978,0.0018,0.0284,0,0,0,0
