,TimeStamp,interocularDistance,glasses,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk.1,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,FRUSTRATED,TIRED,ENGAGED,CLASS
0,0.0,112.5787,1.0,-20.2231,2.1705,-4.1464,0.0018,0.0045,0.4348,0.024,0.0045,0.1929,0.1934,-0.1155,0.0799,0.0007,0.0027,0.009000000000000001,0.0005,0.1392,0.084,0.0009,0.0014,0.0286,0.011000000000000001,0.0002,0.0131,0.0338,0.0,98.1401,0.0017,0.0018,0.0153,0.0025,0.0014,0.0897,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
1,0.04,110.9357,1.0,-17.6062,1.4251,-3.8613,0.0018,0.0045,0.4336,0.024,0.0045,0.1929,0.1967,-0.1244,0.08,0.0007,0.004,0.0142,0.0008,0.1144,0.0947,0.0008,0.0023,0.0455,0.0603,0.0009,0.0081,0.1972,0.0,98.3936,0.0019,0.0014,0.0137,0.0168,0.0023,0.0869,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
2,0.08,111.5826,1.0,-19.298,1.2112,-4.3958,0.0018,0.0045,0.4338,0.024,0.0045,0.1929,0.1949,-0.1205,0.0798,0.0009,0.0031,0.0135,0.0005,0.1151,0.1053,0.0009,0.0016,0.0271,0.0301,0.0017,0.0074,0.1091,0.0,98.4598,0.0032,0.0013,0.0124,0.0081,0.0015,0.0771,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
3,0.12,111.7636,1.0,-19.3462,1.2745,-3.4051,0.0018,0.0045,0.4337,0.024,0.0045,0.1929,0.1948,-0.122,0.0798,0.001,0.0029,0.0115,0.0005,0.1115,0.1095,0.0009,0.0015,0.0337,0.0353,0.0012,0.0072,0.1047,0.0,98.4405,0.0032,0.0012,0.013000000000000001,0.0092,0.0015,0.0883,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
4,0.16,110.5751,1.0,-19.4833,1.5113,-4.0123,0.0018,0.0045,0.4343,0.024,0.0045,0.1928,0.1942,-0.1279,0.0799,0.0011,0.0028,0.0106,0.0005,0.1211,0.1142,0.0008,0.0016,0.0316,0.0317,0.0017,0.0067,0.0764,0.0,98.3661,0.0033,0.0016,0.0141,0.0084,0.0015,0.0806,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
5,0.2,110.4559,1.0,-19.7789,1.4183,-4.5093,0.0018,0.0045,0.4344,0.024,0.0045,0.1928,0.1945,-0.1344,0.0799,0.0014,0.0031,0.0087,0.0006,0.1191,0.1268,0.0008,0.0017,0.0293,0.0359,0.0021,0.0065,0.0876,0.0,98.3958,0.0027,0.002,0.015,0.0094,0.0014,0.0803,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
6,0.28,111.2004,1.0,-19.542,1.3164,-5.3426,0.0018,0.0045,0.4344,0.024,0.0045,0.1928,0.1944,-0.1385,0.0799,0.0014,0.0033,0.0083,0.0006,0.1163,0.1368,0.0007,0.0016,0.0235,0.0378,0.002,0.0072,0.0866,0.0,98.4276,0.002,0.0017,0.0134,0.0087,0.0012,0.0746,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
7,0.36,109.8822,1.0,-19.5716,1.6645,-5.2467,0.0018,0.0045,0.4357,0.024,0.0045,0.1928,0.1945,-0.1515,0.08,0.0014,0.0037,0.0077,0.0007,0.1393,0.1389,0.0008,0.0016,0.0221,0.0393,0.0017,0.0082,0.0901,0.0,98.3161,0.0017,0.0022,0.0149,0.0083,0.0013,0.0765,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
8,0.44,110.8654,1.0,-19.1984,1.4258,-4.5972,0.0018,0.0045,0.4355,0.024,0.0045,0.1928,0.1944,-0.1515,0.08,0.0017,0.0034,0.0077,0.0007,0.1359,0.1397,0.0008,0.0017,0.0248,0.0452,0.0018,0.008,0.0833,0.0,98.3934,0.0019,0.0024,0.0145,0.0087,0.0014,0.0765,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
9,0.52,111.4585,1.0,-19.0592,0.0732,-6.207000000000001,0.0018,0.0045,0.435,0.024,0.0045,0.1928,0.195,-0.1535,0.0801,0.0019,0.0039,0.0066,0.0008,0.1265,0.1423,0.0008,0.0015,0.027999999999999997,0.0622,0.0027,0.0087,0.1152,0.0,98.7695,0.0017,0.0021,0.0126,0.0123,0.0014,0.0888,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.0281,0,0,0,0
