,TimeStamp,interocularDistance,glasses,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk.1,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,FRUSTRATED,TIRED,ENGAGED,CLASS
0,0.0,92.3519,1,-5.1906,-1.2695,-4.8515,0.0018,0.0045,0.4257,0.024,0.0045,0.1928,0.1938,-0.0083,0.0792,0.0,0.0022,0.0096,0.0001,0.0006,0.0005,0.0018,0.0015,0.0218,0.0084,0.0108,0.0003,0.0533,0.0,98.4421,0.0004,0.0012,0.0033,0.002,0.0004,0.0476,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
1,0.04,90.8714,1,-5.8086,-2.1319999999999997,-5.6298,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1938,-0.0087,0.0792,0.0,0.0016,0.0091,0.0002,0.0007,0.0003,0.0016,0.0013,0.021,0.0173,0.0079,0.0002,0.055,0.0,98.1542,0.0004,0.0035,0.0035,0.0061,0.0006,0.0406,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
2,0.08,91.0806,1,-6.2782,-2.5866,-6.3245,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1938,-0.009000000000000001,0.0792,0.0,0.0016,0.0077,0.0002,0.0009,0.0002,0.0015,0.0014,0.0194,0.0195,0.0079,0.0002,0.0567,0.0,97.98200000000001,0.0005,0.0043,0.0043,0.0042,0.0005,0.035,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
3,0.12,91.3858,1,-7.3416,-2.4035,-5.9483,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1937,-0.0085,0.0792,0.0,0.0015,0.0074,0.0002,0.0009,0.0002,0.0015,0.0016,0.02,0.0188,0.0083,0.0002,0.0495,0.0,98.0532,0.0006,0.0056,0.0043,0.0041,0.0005,0.0365,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
4,0.16,91.1245,1,-7.0924,-2.0334,-6.0276,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1937,-0.0079,0.0792,0.0,0.0014,0.0079,0.0002,0.0009,0.0002,0.0015,0.0017,0.0192,0.0154,0.0086,0.0002,0.0488,0.0,98.1895,0.0006,0.0046,0.0042,0.0034,0.0005,0.0359,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
5,0.2,91.0909,1,-7.0664,-2.5011,-6.2682,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1939,-0.0075,0.0792,0.0,0.0014,0.0076,0.0002,0.0009,0.0002,0.0016,0.0019,0.0191,0.0146,0.0079,0.0002,0.0584,0.0,98.0155,0.0006,0.005,0.0039,0.0032,0.0005,0.0359,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
6,0.28,92.74600000000001,1,-8.2345,-0.4941,-5.6415,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1939,-0.0082,0.0791,0.0,0.0023,0.0081,0.0003,0.0009,0.0002,0.0016,0.0019,0.0189,0.0129,0.006999999999999999,0.0002,0.0581,0.0,98.6629,0.0009,0.0021,0.0041,0.003,0.0004,0.04,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
7,0.36,91.9549,1,-7.2913,0.7828,-5.7519,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1942,-0.0074,0.0791,0.0,0.003,0.0096,0.0003,0.0008,0.0002,0.0016,0.0018,0.0189,0.0098,0.0065,0.0002,0.076,0.0,98.5845,0.0011,0.0017,0.0037,0.0028,0.0004,0.0416,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
8,0.44,92.4398,1,-7.7583,0.5106,-5.7971,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1942,-0.0071,0.0791,0.0,0.0039,0.0104,0.0003,0.0008,0.0002,0.0016,0.0017,0.0168,0.0081,0.0055,0.0002,0.0755,0.0,98.6585,0.0013,0.0011,0.0038,0.0027,0.0004,0.0492,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
9,0.52,92.3531,1,-9.1008,-0.2259,-5.8133,0.0018,0.0045,0.4258,0.024,0.0045,0.1928,0.1943,-0.0085,0.0791,0.0,0.0058,0.0108,0.0005,0.0011,0.0002,0.0017,0.002,0.0178,0.0099,0.0055,0.0002,0.0785,0.0,98.7318,0.0017,0.0009,0.0043,0.0034,0.0004,0.0536,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0,0.0019,2.2977,2.2977,0.0018,0.027999999999999997,0,0,0,0
